Time (s),Channel 2 (V)
0.00125025,-0.001581479
0.0012505,-0.001581479
0.00125075,-0.005312749
0.001251,-0.005312749
0.00125125,-0.012775289
0.0012515,-0.012775289
0.00125175,-0.005312749
0.001252,-0.009044019
0.00125225,-0.005312749
0.0012525,-0.005312749
0.00125275,-0.009044019
0.001253,-0.005312749
0.00125325,-0.009044019
0.0012535,-0.005312749
0.00125375,-0.001581479
0.001254,-0.005312749
0.00125425,-0.009044019
0.0012545,-0.009044019
0.00125475,-0.009044019
0.001255,-0.001581479
0.00125525,0.002149791
0.0012555,-0.005312749
0.00125575,-0.005312749
0.001256,-0.005312749
0.00125625,-0.001581479
0.0012565,-0.009044019
0.00125675,-0.009044019
0.001257,-0.009044019
0.00125725,-0.009044019
0.0012575,-0.009044019
0.00125775,-0.012775289
0.001258,-0.012775289
0.00125825,-0.005312749
0.0012585,-0.005312749
0.00125875,-0.005312749
0.001259,-0.001581479
0.00125925,-0.005312749
0.0012595,-0.005312749
0.00125975,-0.005312749
0.00126,0.002149791
0.00126025,0.002149791
0.0012605,-0.001581479
0.00126075,-0.001581479
0.001261,-0.005312749
0.00126125,-0.001581479
0.0012615,-0.005312749
0.00126175,-0.005312749
0.001262,-0.001581479
0.00126225,-0.001581479
0.0012625,0.002149791
0.00126275,-0.001581479
0.001263,-0.001581479
0.00126325,-0.009044019
0.0012635,-0.001581479
0.00126375,0.002149791
0.001264,0.002149791
0.00126425,-0.001581479
0.0012645,-0.005312749
0.00126475,-0.005312749
0.001265,-0.005312749
0.00126525,-0.005312749
0.0012655,-0.005312749
0.00126575,-0.005312749
0.001266,-0.001581479
0.00126625,-0.005312749
0.0012665,-0.005312749
0.00126675,-0.001581479
0.001267,0.002149791
0.00126725,-0.005312749
0.0012675,-0.001581479
0.00126775,-0.001581479
0.001268,0.002149791
0.00126825,-0.001581479
0.0012685,-0.001581479
0.00126875,-0.001581479
0.001269,-0.001581479
0.00126925,-0.001581479
0.0012695,-0.005312749
0.00126975,-0.001581479
0.00127,-0.001581479
0.00127025,-0.001581479
0.0012705,-0.009044019
0.00127075,-0.005312749
0.001271,-0.001581479
0.00127125,-0.001581479
0.0012715,-0.005312749
0.00127175,-0.005312749
0.001272,-0.005312749
0.00127225,-0.001581479
0.0012725,-0.005312749
0.00127275,-0.001581479
0.001273,-0.001581479
0.00127325,-0.001581479
0.0012735,-0.001581479
0.00127375,-0.005312749
0.001274,-0.001581479
0.00127425,-0.001581479
0.0012745,-0.001581479
0.00127475,-0.005312749
0.001275,-0.009044019
0.00127525,-0.005312749
0.0012755,-0.001581479
0.00127575,-0.005312749
0.001276,-0.001581479
0.00127625,-0.001581479
0.0012765,-0.001581479
0.00127675,-0.005312749
0.001277,-0.001581479
0.00127725,-0.001581479
0.0012775,-0.001581479
0.00127775,-0.001581479
0.001278,-0.001581479
0.00127825,0.002149791
0.0012785,-0.001581479
0.00127875,-0.005312749
0.001279,-0.005312749
0.00127925,-0.005312749
0.0012795,-0.009044019
0.00127975,-0.005312749
0.00128,-0.005312749
0.00128025,-0.001581479
0.0012805,-0.001581479
0.00128075,-0.005312749
0.001281,-0.005312749
0.00128125,-0.009044019
0.0012815,-0.005312749
0.00128175,-0.005312749
0.001282,-0.005312749
0.00128225,-0.005312749
0.0012825,-0.005312749
0.00128275,-0.005312749
0.001283,-0.001581479
0.00128325,-0.009044019
0.0012835,-0.005312749
0.00128375,-0.005312749
0.001284,-0.005312749
0.00128425,-0.005312749
0.0012845,-0.009044019
0.00128475,-0.009044019
0.001285,-0.001581479
0.00128525,-0.001581479
0.0012855,-0.001581479
0.00128575,-0.001581479
0.001286,-0.009044019
0.00128625,-0.005312749
0.0012865,-0.012775289
0.00128675,-0.005312749
0.001287,-0.009044019
0.00128725,-0.009044019
0.0012875,-0.005312749
0.00128775,-0.005312749
0.001288,-0.005312749
0.00128825,-0.001581479
0.0012885,-0.001581479
0.00128875,0.002149791
0.001289,0.002149791
0.00128925,0.002149791
0.0012895,0.005881061
0.00128975,0.005881061
0.00129,0.002149791
0.00129025,-0.005312749
0.0012905,-0.005312749
0.00129075,-0.001581479
0.001291,-0.005312749
0.00129125,-0.001581479
0.0012915,-0.001581479
0.00129175,0.002149791
0.001292,0.002149791
0.00129225,-0.001581479
0.0012925,-0.001581479
0.00129275,-0.001581479
0.001293,-0.009044019
0.00129325,-0.009044019
0.0012935,-0.009044019
0.00129375,-0.012775289
0.001294,-0.009044019
0.00129425,-0.005312749
0.0012945,-0.001581479
0.00129475,-0.001581479
0.001295,0.002149791
0.00129525,0.002149791
0.0012955,0.002149791
0.00129575,-0.001581479
0.001296,-0.001581479
0.00129625,0.002149791
0.0012965,-0.001581479
0.00129675,-0.009044019
0.001297,-0.005312749
0.00129725,-0.005312749
0.0012975,-0.005312749
0.00129775,-0.005312749
0.001298,-0.001581479
0.00129825,-0.001581479
0.0012985,-0.001581479
0.00129875,-0.001581479
0.001299,-0.009044019
0.00129925,-0.009044019
0.0012995,-0.009044019
0.00129975,-0.005312749
0.0013,-0.005312749
0.00130025,-0.005312749
0.0013005,-0.001581479
0.00130075,-0.001581479
0.001301,-0.005312749
0.00130125,0.002149791
0.0013015,-0.001581479
0.00130175,-0.001581479
0.001302,-0.005312749
0.00130225,-0.009044019
0.0013025,-0.005312749
0.00130275,-0.012775289
0.001303,-0.009044019
0.00130325,-0.012775289
0.0013035,-0.009044019
0.00130375,-0.009044019
0.001304,-0.009044019
0.00130425,-0.009044019
0.0013045,-0.009044019
0.00130475,-0.009044019
0.001305,-0.001581479
0.00130525,-0.001581479
0.0013055,-0.001581479
0.00130575,-0.005312749
0.001306,-0.005312749
0.00130625,-0.005312749
0.0013065,-0.005312749
0.00130675,-0.005312749
0.001307,-0.009044019
0.00130725,-0.009044019
0.0013075,-0.009044019
0.00130775,-0.005312749
0.001308,-0.005312749
0.00130825,-0.005312749
0.0013085,-0.009044019
0.00130875,-0.005312749
0.001309,-0.009044019
0.00130925,-0.005312749
0.0013095,-0.009044019
0.00130975,-0.009044019
0.00131,-0.005312749
0.00131025,-0.009044019
0.0013105,-0.001581479
0.00131075,-0.001581479
0.001311,-0.001581479
0.00131125,-0.001581479
0.0013115,-0.005312749
0.00131175,-0.005312749
0.001312,-0.005312749
0.00131225,-0.009044019
0.0013125,-0.001581479
0.00131275,-0.001581479
0.001313,-0.005312749
0.00131325,-0.005312749
0.0013135,-0.005312749
0.00131375,-0.009044019
0.001314,-0.012775289
0.00131425,-0.005312749
0.0013145,-0.009044019
0.00131475,-0.005312749
0.001315,-0.005312749
0.00131525,-0.001581479
0.0013155,-0.005312749
0.00131575,-0.001581479
0.001316,0.002149791
0.00131625,-0.001581479
0.0013165,-0.001581479
0.00131675,-0.001581479
0.001317,-0.001581479
0.00131725,0.002149791
0.0013175,0.002149791
0.00131775,-0.001581479
0.001318,-0.001581479
0.00131825,-0.005312749
0.0013185,-0.001581479
0.00131875,-0.001581479
0.001319,-0.005312749
0.00131925,-0.001581479
0.0013195,-0.005312749
0.00131975,-0.005312749
0.00132,-0.005312749
0.00132025,-0.009044019
0.0013205,-0.005312749
0.00132075,-0.009044019
0.001321,-0.005312749
0.00132125,-0.005312749
0.0013215,-0.009044019
0.00132175,-0.005312749
0.001322,-0.005312749
0.00132225,-0.005312749
0.0013225,-0.005312749
0.00132275,-0.009044019
0.001323,-0.005312749
0.00132325,-0.001581479
0.0013235,-0.005312749
0.00132375,-0.009044019
0.001324,-0.005312749
0.00132425,-0.005312749
0.0013245,-0.001581479
0.00132475,-0.005312749
0.001325,-0.005312749
0.00132525,0.002149791
0.0013255,-0.005312749
0.00132575,-0.001581479
0.001326,-0.001581479
0.00132625,-0.005312749
0.0013265,-0.001581479
0.00132675,-0.005312749
0.001327,-0.009044019
0.00132725,-0.005312749
0.0013275,-0.001581479
0.00132775,-0.005312749
0.001328,-0.005312749
0.00132825,-0.009044019
0.0013285,-0.009044019
0.00132875,-0.009044019
0.001329,-0.005312749
0.00132925,-0.001581479
0.0013295,-0.005312749
0.00132975,-0.005312749
0.00133,-0.012775289
0.00133025,-0.009044019
0.0013305,-0.005312749
0.00133075,-0.009044019
0.001331,-0.009044019
0.00133125,-0.005312749
0.0013315,-0.005312749
0.00133175,-0.005312749
0.001332,-0.009044019
0.00133225,-0.005312749
0.0013325,-0.012775289
0.00133275,-0.009044019
0.001333,-0.005312749
0.00133325,-0.005312749
0.0013335,-0.001581479
0.00133375,-0.005312749
0.001334,0.002149791
0.00133425,-0.001581479
0.0013345,-0.005312749
0.00133475,-0.012775289
0.001335,-0.012775289
0.00133525,-0.009044019
0.0013355,-0.009044019
0.00133575,-0.005312749
0.001336,-0.009044019
0.00133625,-0.009044019
0.0013365,-0.009044019
0.00133675,-0.005312749
0.001337,-0.005312749
0.00133725,-0.005312749
0.0013375,-0.001581479
0.00133775,-0.005312749
0.001338,0.002149791
0.00133825,-0.001581479
0.0013385,-0.001581479
0.00133875,0.002149791
0.001339,-0.001581479
0.00133925,-0.001581479
0.0013395,0.002149791
0.00133975,-0.001581479
0.00134,0.002149791
0.00134025,0.002149791
0.0013405,-0.001581479
0.00134075,-0.005312749
0.001341,-0.001581479
0.00134125,-0.001581479
0.0013415,-0.001581479
0.00134175,-0.001581479
0.001342,0.002149791
0.00134225,0.002149791
0.0013425,-0.001581479
0.00134275,-0.005312749
0.001343,0.002149791
0.00134325,-0.001581479
0.0013435,0.002149791
0.00134375,0.002149791
0.001344,-0.001581479
0.00134425,-0.001581479
0.0013445,-0.005312749
0.00134475,-0.009044019
0.001345,-0.012775289
0.00134525,-0.009044019
0.0013455,-0.005312749
0.00134575,-0.001581479
0.001346,-0.001581479
0.00134625,0.002149791
0.0013465,-0.001581479
0.00134675,0.002149791
0.001347,-0.001581479
0.00134725,-0.001581479
0.0013475,-0.001581479
0.00134775,0.002149791
0.001348,-0.005312749
0.00134825,-0.005312749
0.0013485,-0.005312749
0.00134875,-0.009044019
0.001349,-0.012775289
0.00134925,-0.005312749
0.0013495,-0.005312749
0.00134975,-0.009044019
0.00135,-0.005312749
0.00135025,-0.005312749
0.0013505,-0.005312749
0.00135075,-0.001581479
0.001351,-0.005312749
0.00135125,-0.001581479
0.0013515,0.002149791
0.00135175,0.002149791
0.001352,0.002149791
0.00135225,0.002149791
0.0013525,-0.001581479
0.00135275,0.002149791
0.001353,-0.001581479
0.00135325,-0.009044019
0.0013535,-0.005312749
0.00135375,-0.005312749
0.001354,-0.009044019
0.00135425,-0.009044019
0.0013545,-0.005312749
0.00135475,-0.009044019
0.001355,-0.005312749
0.00135525,-0.005312749
0.0013555,-0.001581479
0.00135575,-0.001581479
