#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD973B
#Date Time: 2021-05-02 20:39:04.320
#Sample rate: 2.12766e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 1.3371 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1 V/div Offset: -2.9 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: -2 V
#Offset: 2 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 2 (V)
-0.0021902,-0.0090425088587196
-0.00218973,-0.0090425088587196
-0.00218926,-0.0127737789220271
-0.00218879,-0.009042508858722993
-0.00218832,-0.0127737789220288
-0.00218785,-0.0127737789220305
-0.00218738,-0.016505048985338
-0.00218691,-0.009042508858722993
-0.00218644,-0.0090425088587196
-0.00218597,-0.005311238795412097
-0.0021855,-0.0090425088587196
-0.00218503,-0.0090425088587196
-0.00218456,-0.0090425088587196
-0.00218409,-0.0053112387954104
-0.00218362,-0.0090425088587196
-0.00218315,-0.0090425088587196
-0.00218268,-0.0090425088587196
-0.00218221,-0.0053112387954104
-0.00218174,-0.0053112387954104
-0.00218127,-0.005311238795412097
-0.0021808,-0.0090425088587196
-0.00218033,-0.005311238795412097
-0.00217986,-0.0127737789220288
-0.00217939,-0.0090425088587196
-0.00217892,-0.0090425088587196
-0.00217845,-0.0090425088587196
-0.00217798,-0.0090425088587196
-0.00217751,-0.0090425088587196
-0.00217704,-0.0127737789220288
-0.00217657,-0.0127737789220288
-0.0021761,-0.009042508858721297
-0.00217563,-0.0090425088587196
-0.00217516,-0.005311238795412097
-0.00217469,-0.0090425088587196
-0.00217422,-0.0090425088587196
-0.00217375,-0.0127737789220271
-0.00217328,-0.0090425088587196
-0.00217281,-0.0127737789220271
-0.00217234,-0.0090425088587196
-0.00217187,-0.0090425088587196
-0.0021714,-0.0090425088587196
